Background,box_A1,box_A2,box_A3,box_A4,box_B1,box_B2,box_B3,box_B4,box_C1,box_C2,box_C3,box_C4,box_D1,box_D2,box_D3,box_D4,Sound,corr_loc,wrong_loc,directortask_loop.thisRepN,directortask_loop.thisTrialN,directortask_loop.thisN,directortask_loop.thisIndex,background.started,background.stopped,A1.started,A1.stopped,A2.started,A2.stopped,A3.started,A3.stopped,A4.started,A4.stopped,B1.started,B1.stopped,B2.started,B2.stopped,B3.started,B3.stopped,B4.started,B4.stopped,C1.started,C1.stopped,C2.started,C2.stopped,C3.started,C3.stopped,C4.started,C4.stopped,D1.started,D1.stopped,D2.started,D2.stopped,D3.started,D3.stopped,D4.started,D4.stopped,soundfile.started,soundfile.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.started,mouse.stopped,participant,session,date,expName,psychopyVersion,frameRate,
/home/delta/Desktop/meta/directortask/materials/imgs/ig4.png,/home/delta/Desktop/meta/directortask/materials/imgs/cow.png,None,/home/delta/Desktop/meta/directortask/materials/imgs/wallet.png,None,None,/home/delta/Desktop/meta/directortask/materials/imgs/egg.png,None,None,None,None,/home/delta/Desktop/meta/directortask/materials/imgs/truck1.png,/home/delta/Desktop/meta/directortask/materials/imgs/gaspump.png,/home/delta/Desktop/meta/directortask/materials/imgs/cassette.png,/home/delta/Desktop/meta/directortask/materials/imgs/fox.png,None,/home/delta/Desktop/meta/directortask/materials/imgs/truck2.png,/home/delta/Desktop/meta/directortask/materials/imgs/ig4hcv1.wav,None,None,0,0,0,42,10.130512952804565,None,10.130512952804565,None,10.130512952804565,None,10.130512952804565,None,10.130512952804565,None,10.130512952804565,None,10.130512952804565,None,10.130512952804565,None,10.130512952804565,None,10.130512952804565,None,10.130512952804565,None,10.130512952804565,None,10.130512952804565,None,10.130512952804565,None,10.130512952804565,None,10.130512952804565,None,10.130512952804565,None,10.126261377334595,None,[0.14192708],[-0.01171875],[1],[0],[0],[3.0157251358032227],0.014838695526123047,None,,001,2022_gen_24_1930,directortask_ALF_bis,2021.2.3,60.154692772924605,
/home/delta/Desktop/meta/directortask/materials/imgs/ig2.png,/home/delta/Desktop/meta/directortask/materials/imgs/wallet.png,None,None,/home/delta/Desktop/meta/directortask/materials/imgs/mediumblock.png,/home/delta/Desktop/meta/directortask/materials/imgs/glasses2.png,/home/delta/Desktop/meta/directortask/materials/imgs/sock1.png,None,None,None,None,/home/delta/Desktop/meta/directortask/materials/imgs/teddy.png,/home/delta/Desktop/meta/directortask/materials/imgs/sock2.png,/home/delta/Desktop/meta/directortask/materials/imgs/camera.png,/home/delta/Desktop/meta/directortask/materials/imgs/watch.png,None,None,/home/delta/Desktop/meta/directortask/materials/imgs/ig2kcv2.wav,None,None,0,1,1,61,17.532033920288086,None,17.532033920288086,None,17.532033920288086,None,17.532033920288086,None,17.532033920288086,None,17.532033920288086,None,17.532033920288086,None,17.532033920288086,None,17.532033920288086,None,17.532033920288086,None,17.532033920288086,None,17.532033920288086,None,17.532033920288086,None,17.532033920288086,None,17.532033920288086,None,17.532033920288086,None,17.532033920288086,None,17.49624972343445,None,[0.14973958],[0.119791664],[1],[0],[0],[3.848639965057373],0.003941535949707031,None,,001,2022_gen_24_1930,directortask_ALF_bis,2021.2.3,60.154692772924605,
/home/delta/Desktop/meta/directortask/materials/imgs/ig1.png,None,None,None,/home/delta/Desktop/meta/directortask/materials/imgs/mediumcup.png,/home/delta/Desktop/meta/directortask/materials/imgs/paintbrush.png,/home/delta/Desktop/meta/directortask/materials/imgs/smallcup.png,/home/delta/Desktop/meta/directortask/materials/imgs/apple1.png,/home/delta/Desktop/meta/directortask/materials/imgs/tie.png,None,None,None,None,/home/delta/Desktop/meta/directortask/materials/imgs/person.png,/home/delta/Desktop/meta/directortask/materials/imgs/deckofcards.png,None,/home/delta/Desktop/meta/directortask/materials/imgs/screwdriver.png,/home/delta/Desktop/meta/directortask/materials/imgs/ig1bcv3.wav,None,None,0,2,2,8,22.34397602081299,None,22.34397602081299,None,22.34397602081299,None,22.34397602081299,None,22.34397602081299,None,22.34397602081299,None,22.34397602081299,None,22.34397602081299,None,22.34397602081299,None,22.34397602081299,None,22.34397602081299,None,22.34397602081299,None,22.34397602081299,None,22.34397602081299,None,22.34397602081299,None,22.34397602081299,None,22.34397602081299,None,22.321828651428223,None,[-0.26302084],[-0.2890625],[1],[0],[0],[4.895721912384033],0.01050567626953125,None,,001,2022_gen_24_1930,directortask_ALF_bis,2021.2.3,60.154692772924605,
/home/delta/Desktop/meta/directortask/materials/imgs/ig4.png,/home/delta/Desktop/meta/directortask/materials/imgs/dice2.png,/home/delta/Desktop/meta/directortask/materials/imgs/egg.png,None,/home/delta/Desktop/meta/directortask/materials/imgs/dice1.png,None,/home/delta/Desktop/meta/directortask/materials/imgs/banana.png,None,/home/delta/Desktop/meta/directortask/materials/imgs/bikepump.png,/home/delta/Desktop/meta/directortask/materials/imgs/baby.png,None,None,None,/home/delta/Desktop/meta/directortask/materials/imgs/sodacan2.png,None,/home/delta/Desktop/meta/directortask/materials/imgs/mouse.png,None,/home/delta/Desktop/meta/directortask/materials/imgs/ig4pcv1.wav,None,None,0,3,3,90,27.676636934280396,None,27.676636934280396,None,27.676636934280396,None,27.676636934280396,None,27.676636934280396,None,27.676636934280396,None,27.676636934280396,None,27.676636934280396,None,27.676636934280396,None,27.676636934280396,None,27.676636934280396,None,27.676636934280396,None,27.676636934280396,None,27.676636934280396,None,27.676636934280396,None,27.676636934280396,None,27.676636934280396,None,27.646018838882448,None,[-0.13932292],[-0.28645834],[1],[0],[0],[3.836419105529785],0.0074117183685302734,None,,001,2022_gen_24_1930,directortask_ALF_bis,2021.2.3,60.154692772924605,
/home/delta/Desktop/meta/directortask/materials/imgs/ig4.png,None,/home/delta/Desktop/meta/directortask/materials/imgs/scissors2.png,/home/delta/Desktop/meta/directortask/materials/imgs/pen.png,None,None,None,None,/home/delta/Desktop/meta/directortask/materials/imgs/glasses1.png,/home/delta/Desktop/meta/directortask/materials/imgs/lipstick.png,None,/home/delta/Desktop/meta/directortask/materials/imgs/truck3.png,None,/home/delta/Desktop/meta/directortask/materials/imgs/shoes1.png,None,/home/delta/Desktop/meta/directortask/materials/imgs/bigjar.png,/home/delta/Desktop/meta/directortask/materials/imgs/scissors1.png,/home/delta/Desktop/meta/directortask/materials/imgs/ig4ocv3.wav,None,None,0,4,4,86,32.48227000236511,None,32.48227000236511,None,32.48227000236511,None,32.48227000236511,None,32.48227000236511,None,32.48227000236511,None,32.48227000236511,None,32.48227000236511,None,32.48227000236511,None,32.48227000236511,None,32.48227000236511,None,32.48227000236511,None,32.48227000236511,None,32.48227000236511,None,32.48227000236511,None,32.48227000236511,None,32.48227000236511,None,32.439197587966916,None,[-0.26302084],[-0.0234375],[1],[0],[0],[4.470972061157227],0.0007135868072509766,10.045407772064209,,001,2022_gen_24_1930,directortask_ALF_bis,2021.2.3,60.154692772924605,
/home/delta/Desktop/meta/directortask/materials/imgs/ig3.png,/home/delta/Desktop/meta/directortask/materials/imgs/syringe1.png,None,/home/delta/Desktop/meta/directortask/materials/imgs/mediumjar.png,/home/delta/Desktop/meta/directortask/materials/imgs/camera.png,None,None,None,None,/home/delta/Desktop/meta/directortask/materials/imgs/cellphone.png,/home/delta/Desktop/meta/directortask/materials/imgs/smalljar.png,None,None,None,/home/delta/Desktop/meta/directortask/materials/imgs/sodacan2.png,/home/delta/Desktop/meta/directortask/materials/imgs/pocketknife.png,/home/delta/Desktop/meta/directortask/materials/imgs/goose.png,/home/delta/Desktop/meta/directortask/materials/imgs/ig3ecv3.wav,None,None,0,5,5,25,42.62142610549927,42.62142610549927,42.62142610549927,42.62142610549927,42.62142610549927,42.62142610549927,42.62142610549927,42.62142610549927,42.62142610549927,42.62142610549927,42.62142610549927,42.62142610549927,42.62142610549927,42.62142610549927,42.62142610549927,42.62142610549927,42.62142610549927,42.62142610549927,42.62142610549927,42.62142610549927,42.62142610549927,42.62142610549927,42.62142610549927,42.62142610549927,42.62142610549927,42.62142610549927,42.62142610549927,42.62142610549927,42.62142610549927,42.62142610549927,42.62142610549927,42.62142610549927,42.62142610549927,42.62142610549927,42.598508691787714,None,[0.0078125],[-0.0078125],[1],[0],[0],[3.017764091491699],0.010155439376831055,None,,001,2022_gen_24_1930,directortask_ALF_bis,2021.2.3,60.154692772924605,
/home/delta/Desktop/meta/directortask/materials/imgs/ig1.png,/home/delta/Desktop/meta/directortask/materials/imgs/hairbrush1.png,None,/home/delta/Desktop/meta/directortask/materials/imgs/canopener.png,/home/delta/Desktop/meta/directortask/materials/imgs/fox.png,/home/delta/Desktop/meta/directortask/materials/imgs/scissors1.png,None,None,/home/delta/Desktop/meta/directortask/materials/imgs/rhino.png,None,/home/delta/Desktop/meta/directortask/materials/imgs/bow.png,/home/delta/Desktop/meta/directortask/materials/imgs/hairbrush3.png,None,/home/delta/Desktop/meta/directortask/materials/imgs/mouse.png,None,None,None,/home/delta/Desktop/meta/directortask/materials/imgs/ig1icv2.wav,None,None,0,6,6,49,49.354645013809204,None,49.354645013809204,None,49.354645013809204,None,49.354645013809204,None,49.354645013809204,None,49.354645013809204,None,49.354645013809204,None,49.354645013809204,None,49.354645013809204,None,49.354645013809204,None,49.354645013809204,None,49.354645013809204,None,49.354645013809204,None,49.354645013809204,None,49.354645013809204,None,49.354645013809204,None,49.354645013809204,None,49.321973609924314,None,[-0.2591146],[0.111979164],[1],[0],[0],[4.7852818965911865],0.002745389938354492,None,,001,2022_gen_24_1930,directortask_ALF_bis,2021.2.3,60.154692772924605,
/home/delta/Desktop/meta/directortask/materials/imgs/ig1.png,None,None,None,/home/delta/Desktop/meta/directortask/materials/imgs/mediumcup.png,/home/delta/Desktop/meta/directortask/materials/imgs/paintbrush.png,/home/delta/Desktop/meta/directortask/materials/imgs/smallcup.png,/home/delta/Desktop/meta/directortask/materials/imgs/apple1.png,/home/delta/Desktop/meta/directortask/materials/imgs/tie.png,None,None,None,None,/home/delta/Desktop/meta/directortask/materials/imgs/person.png,/home/delta/Desktop/meta/directortask/materials/imgs/deckofcards.png,None,/home/delta/Desktop/meta/directortask/materials/imgs/screwdriver.png,/home/delta/Desktop/meta/directortask/materials/imgs/ig1bcv1.wav,None,None,0,7,7,6,54.721763134002686,None,54.721763134002686,None,54.721763134002686,None,54.721763134002686,None,54.721763134002686,None,54.721763134002686,None,54.721763134002686,None,54.721763134002686,None,54.721763134002686,None,54.721763134002686,None,54.721763134002686,None,54.721763134002686,None,54.721763134002686,None,54.721763134002686,None,54.721763134002686,None,54.721763134002686,None,54.721763134002686,None,54.695605516433716,None,[-0.13932292],[-0.123697914],[1],[0],[0],[2.924567937850952],0.010037422180175781,None,,001,2022_gen_24_1930,directortask_ALF_bis,2021.2.3,60.154692772924605,
/home/delta/Desktop/meta/directortask/materials/imgs/ig1.png,/home/delta/Desktop/meta/directortask/materials/imgs/grater.png,None,/home/delta/Desktop/meta/directortask/materials/imgs/pocketknife.png,None,None,None,None,/home/delta/Desktop/meta/directortask/materials/imgs/glasses3.png,/home/delta/Desktop/meta/directortask/materials/imgs/glasses1.png,/home/delta/Desktop/meta/directortask/materials/imgs/bikepump.png,/home/delta/Desktop/meta/directortask/materials/imgs/tiger.png,None,None,None,/home/delta/Desktop/meta/directortask/materials/imgs/glasses2.png,/home/delta/Desktop/meta/directortask/materials/imgs/pen.png,/home/delta/Desktop/meta/directortask/materials/imgs/ig1jev2.wav,None,None,0,8,8,58,59.15447497367859,None,59.15447497367859,None,59.15447497367859,None,59.15447497367859,None,59.15447497367859,None,59.15447497367859,None,59.15447497367859,None,59.15447497367859,None,59.15447497367859,None,59.15447497367859,None,59.15447497367859,None,59.15447497367859,None,59.15447497367859,None,59.15447497367859,None,59.15447497367859,None,59.15447497367859,None,59.15447497367859,None,59.13383560180664,None,[],[],[],[],[],[],0.012966632843017578,10.033763647079468,,001,2022_gen_24_1930,directortask_ALF_bis,2021.2.3,60.154692772924605,
/home/delta/Desktop/meta/directortask/materials/imgs/ig1.png,/home/delta/Desktop/meta/directortask/materials/imgs/screwdriver.png,None,/home/delta/Desktop/meta/directortask/materials/imgs/mediumcandle.png,None,None,/home/delta/Desktop/meta/directortask/materials/imgs/wallet.png,None,/home/delta/Desktop/meta/directortask/materials/imgs/lipstick.png,/home/delta/Desktop/meta/directortask/materials/imgs/bigblock.png,None,/home/delta/Desktop/meta/directortask/materials/imgs/smallblock.png,None,None,/home/delta/Desktop/meta/directortask/materials/imgs/person.png,None,/home/delta/Desktop/meta/directortask/materials/imgs/tape.png,/home/delta/Desktop/meta/directortask/materials/imgs/ig1acv3.wav,None,None,0,9,9,1,69.27631711959839,69.27631711959839,69.27631711959839,69.27631711959839,69.27631711959839,69.27631711959839,69.27631711959839,69.27631711959839,69.27631711959839,69.27631711959839,69.27631711959839,69.27631711959839,69.27631711959839,69.27631711959839,69.27631711959839,69.27631711959839,69.27631711959839,69.27631711959839,69.27631711959839,69.27631711959839,69.27631711959839,69.27631711959839,69.27631711959839,69.27631711959839,69.27631711959839,69.27631711959839,69.27631711959839,69.27631711959839,69.27631711959839,69.27631711959839,69.27631711959839,69.27631711959839,69.27631711959839,69.27631711959839,69.2559157371521,None,"[0.016927084, -0.109375, -0.23697917]","[-0.024739584, -0.029947916, 0.013020833]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0.07382416725158691, 1.9209351539611816, 4.514814138412476]",0.014316558837890625,None,,001,2022_gen_24_1930,directortask_ALF_bis,2021.2.3,60.154692772924605,
